AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SEPSECS	2.83559	3.6802	4.61507	4.32461	6.04035	3.24208	4.8601	4.40103	3.74651	2.5032	4.41194	4.95218	3.33893	4.52414	6.18001	1.85012	2.39316	1.69806	4.34014	6.76605	6.1556	3.20227	3.24536	2.73496	4.58956	4.81532	3.97033	4.49345	3.61578	1.74943	3.67803	4.43166	5.98849	8.1487
PI4K2B	4.8958	11.5431	6.01275	6.50502	8.38115	7.35972	5.16048	6.99545	6.17584	5.12277	7.55638	5.55865	4.29737	6.07323	11.0855	4.44343	3.82768	2.36758	4.80566	5.20781	7.76987	6.45079	5.75508	4.56051	5.41619	5.01386	8.5585	4.6812	5.90686	1.63786	6.0308	6.23464	7.76773	8.51175
PGM2	19.547	32.3318	23.4514	23.3032	44.6028	39.735	15.9057	30.9769	22.4942	31.2626	40.0495	20.3636	13.0287	28.7546	24.2495	29.9712	19.137	11.4554	26.5856	16.7449	21.6247	19.2981	35.4805	27.0173	21.3232	14.7647	46.4888	8.69498	22.1323	8.65541	8.20034	19.8245	28.0914	25.303
LIAS	6.55527	9.53954	12.2998	9.38867	11.5631	3.64073	6.13329	11.2651	8.52144	7.80699	8.78974	15.895	9.36098	10.9619	8.76934	8.4289	8.57502	7.59969	8.98984	13.5894	6.85429	7.77983	8.77043	7.5075	9.40958	12.771	14.8304	17.4372	9.23631	8.94952	10.344	9.1145	9.9035	8.57907
UGDH	4.84829	13.4179	4.5793	4.47638	7.08315	7.05289	2.9125	6.76506	6.71612	8.1501	3.4984	4.23449	5.93415	3.78729	6.30253	4.70278	4.06998	4.80282	3.60323	6.9884	6.90253	6.89435	5.73536	2.19908	6.36893	7.77064	11.7352	9.96485	3.30639	3.42142	8.91514	5.21742	4.43991	6.5963
GNPDA2	0.741969	3.76026	5.08554	4.13992	7.09997	2.38549	2.70791	5.71219	2.86542	3.90347	2.71103	1.75394	2.70758	2.87686	3.96528	2.86326	1.91799	1.81752	2.37851	3.49146	4.20108	2.76976	2.39388	2.92315	1.44676	4.57179	2.04321	5.72759	2.24591	1.81652	3.25024	2.47282	4.84427	3.68413
COX7B2	0	0	0	0	0.0087522	0	0	0	0	0.0077	0.0235752	0.010753	0.0170601	0	0	0	0.0115067	0	0	0.013943	0	0	0	0	0.0081786	0	0	0	0	0	0.0450249	0	0	0
SRD5A3	0.516085	4.05427	5.20394	13.1792	4.28428	9.74096	5.60009	23.4374	4.42236	4.37994	10.4567	4.37264	7.56195	8.65853	8.8597	5.41211	9.42841	6.15094	6.06391	5.84956	4.96022	4.07267	5.28138	6.761	3.40948	11.268	2.19324	8.77923	4.78692	3.61628	7.09498	2.56886	35.2292	8.81902
PPAT	8.88356	15.724	15.1232	19.6091	28.4836	10.098	16.2615	48.7635	19.2468	14.8553	27.7415	12.1372	11.7961	14.7721	16.8379	19.3642	14.4185	6.67026	14.4521	19.2756	11.3502	8.72718	9.52773	10.385	6.15829	17.7723	27.1493	13.5977	12.2571	8.78081	14.3436	18.9197	86.6788	11.1484
PAICS	112.442	76.9882	101.197	126.193	157.879	81.9892	104.653	258.993	111.155	93.3239	167.567	110.906	104.128	110.179	101.878	133.695	120.599	61.2709	80.9849	115.527	73.7207	54.7382	85.8591	82.3699	62.1607	134.004	149.351	90.2236	98.238	63.9441	105.658	101.735	705.691	62.3436
UGT2B17	0.0119893	0	0	0	0	0	0.0083182	0.0081635	0	0	0.0094324	0	0.068257	0	0	0	0	0	0	0.0055785	0	0.0094686	0	0.181801	0	0	0	0	0	0	0	0	0	0
UGT2B15	0	0.0202075	0	0	0	0.0405755	0.0083182	0.016327	0	0	0	0	0	0	0	0	0	0	0	0	0.0045194	0	0	0.0154724	0	0	0	0	0	0	0.0144114	0	0	0
UGT2B10	0	0	0	0.0043554	0.022599	0	0.0044736	0.0043904	0.0112432	0	0	0	0	0	0	0.0034916	0	0	0	0	0	0	0	0.0041606	0	0	0.0039961	0	0	0	0	0	0	0
UGT2A3	0	0.009138	0.0104104	0	0.0095011	0.0027523	0	0	0.0732671	0.0041794	0	0	0	0	0	0	0.0031228	0	0	0	0	0	0.0051392	0.0577233	0	0.0151282	0.0050402	0.0199097	0	0.0039495	0.163739	0.0099776	0	0.0287131
UGT2B7	0.0165351	0	0.0564439	0.007446	0	0	0.003824	0.0300232	0.615088	0	0.0173449	0.0079113	0.0062758	0.0042675	0.0066274	0.0208927	0.0084657	0.0036128	0.0170746	0	0.0290871	0.0058038	0	0.0213387	0.015043	0.0123035	0.0341591	0.0655399	0.0069868	0	0.35776	0	0	0
UGT2B11	0	0	0.0095439	3.8627	0.0087103	0	0.0258638	0.0253826	4.36814	0	1.16725	0	0	0	0	0.0121121	1.0879	0	0.0519676	0	0	0	0	0.0384864	0	0	0.0231034	0.0730104	0	0.0144831	0.515306	0.0045736	0.0142435	0.29833
UGT2B28	0.0067926	0	0	1.00024	0	0	1.36199	0.393133	2.42809	0	0.112224	0	0.0077343	0	0	0	0.808573	0	2.08324	0.0031606	0.005121	0.0143053	0.0042924	0.780174	0.0037078	0.222389	1.13664	0.921748	0	0.0362869	0.869563	0.0291679	0	0.567584
UGT2B4	0	0	0.0032018	0	0.0058442	0	0	0	0	0	0.007871	0	0	0	0	0	0.0038417	0	0	0	0	0	0	0	0	0	0	0	0	0.0048588	0	0	0	0.0117744
UGT2A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00683	0	0	0	6.29955	0	0	0	0	0	0	0.338121	0	0	0	0	0	0	0	0
UGT2A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17742	0	0	0	0	0	0	0.149428	0	0	0	0	0	0	0	0
SULT1E1	0.117647	0	0	0	0	0.0088478	0.0498811	0.0178011	0	0	0.113124	0.0375255	0.0297679	0	0.0157178	0	0.0401555	0.0042841	0.232846	0.355809	0.0197099	0.0206469	0	0.0042173	0.0321091	0	0.0243041	0.251444	0	0.0126965	0.137485	0.0320749	0	0
DCK	17.7751	24.1853	12.9633	24.9744	21.7048	18.7699	31.0106	28.1125	24.6064	22.1358	33.7722	14.5685	16.8945	18.7186	22.6726	27.5683	33.9446	13.2402	21.5187	29.1645	26.9526	28.0032	30.37	17.9527	15.1735	10.3605	11.5929	22.3827	15.0718	21.9983	20.6915	15.5111	34.1202	34.3055
MTHFD2L	2.00336	1.4998	2.54604	2.39275	2.73058	0.985289	3.5454	2.26365	2.31767	1.34063	2.11029	1.72739	1.47605	1.39987	1.46728	2.53826	1.41432	0.428272	3.92537	1.89558	2.83718	1.74782	0.98869	1.77937	1.57782	2.36528	1.94129	2.60433	1.42505	1.54687	1.38883	0.77115	3.76506	4.02564
GK2	0	0	0	0	0	0.0045188	0.0046319	0.0181829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037358	0	0	0	0	0	0
ENOPH1	20.358	41.3629	29.5824	25.9826	44.4217	36.0407	27.8138	29.9004	28.7403	32.4357	45.0497	31.7143	31.0038	30.2398	37.9198	32.7996	30.8677	20.9292	27.5191	31.1494	27.1129	21.7283	25.2904	25.943	26.6185	27.1393	35.5532	22.8759	22.7122	17.749	33.9975	26.3873	57.2953	16.3899
SCD5	1.28312	6.41876	0.0525325	0.524836	0.329216	0.914787	4.03168	6.03188	0.136755	8.95615	1.05467	0.0962102	0.0623027	0.0254196	0.985253	1.03854	0.0861444	0.310241	5.92642	1.67905	0.0928164	0.110913	0.914566	0.898555	2.30281	0.0223928	0.545974	0.005741	1.83288	0.127551	0.0197314	0.0419569	10.8	0.0482968
COQ2	5.48038	8.84607	2.93027	4.16271	4.48605	6.09431	8.23367	8.7284	3.12538	9.47343	8.74322	9.51882	12.8968	13.6508	6.4548	5.03613	7.92125	7.62585	5.20729	6.4073	9.62032	8.46246	12.7834	9.80361	11.8484	5.36701	6.57046	5.08292	11.8374	2.82935	2.54114	3.82442	7.06566	4.04628
HPSE	5.15602	14.6171	1.43482	0.19418	3.94853	3.85763	9.41617	4.63127	0.233003	1.33774	0.192964	0.107888	1.79127	0.865817	0.979902	0.0599831	1.51299	5.25878	0.11234	0.0687195	0.449359	0.773428	3.07988	0.258668	0.692455	0.286511	0.125858	0.090393	2.38536	0.0179314	0.042797	0.103542	9.95936	6.54601
CDS1	0.092105	0.0172487	0.0196505	0.0226236	0.0635848	1.13538	0.0367925	0.0665148	0.0243339	0.106142	0.0131749	0.0480741	0.0158899	0.0129662	0.0385943	0.0136027	0.0214347	0.159165	0.0518783	0.0233758	0.111523	0.0382067	0.333346	0.289953	0.237669	0.0124607	0.0432444	0.109327	0.0831439	0.0257537	0.018452	0.0479397	0.0728723	0.0197085
HSD17B11	51.675	34.7712	23.4779	50.8921	34.7973	34.4416	60.209	103.074	47.5374	86.322	34.4566	36.9596	29.0469	49.1576	73.7585	21.1943	75.758	73.325	44.8753	109.768	104.936	84.3068	103.158	126.599	40.3656	31.4757	47.7692	88.75	40.1754	17.6816	75.8843	91.0119	69.7189	66.445
NUDT9	6.64779	6.11417	2.603	4.66212	4.20991	6.87648	5.93083	5.53027	4.37987	7.79535	7.78042	4.98147	4.98687	4.71422	5.94101	3.71848	5.74803	4.59843	5.14549	7.80931	5.54248	4.47595	4.44307	5.67732	4.90308	5.6943	6.87315	2.59303	5.52957	2.07571	4.55475	3.67738	6.27287	7.30361
HPGDS	7.83819	0	22.2649	46.7463	7.92952	0	22.2676	0.23615	83.6174	0	41.1793	0.0199126	0	0.0214827	0.0083405	2.573	14.0794	0	29.2187	0.0096824	0	0	0.0262998	5.54998	0.0151452	1.33677	0	0.562816	0	0.949957	16.2461	0.148927	1.98774	1.27349
PDHA2	0	0	0	0	0	0.0121522	0	0	0.0052177	0	0	0	0	0	0.005397	0	0	0	0	0	0	0	0	0	0	0.0133591	0	0	0	0	0	0	0	0
ADH5	45.7626	42.2245	25.4781	31.5239	29.9793	38.88	29.3229	44.439	40.9287	27.2953	40.9177	21.9135	32.3397	36.4502	28.2243	40.2572	22.4848	31.7838	34.5931	37.7496	31.4624	21.2015	25.3848	35.3333	24.7056	40.474	31.8409	41.3504	37.8681	26.8265	27.4644	25.0217	23.4388	31.0503
ADH4	0	0	0	0.0034725	0.0030029	0	0.0071334	0	0.008964	0.0132095	0.0080888	0.0036894	0.0058534	0	0.0030907	0	0	0.0033697	0	0.002392	0.0038757	0.0027066	0	0	0	0.0076503	0	0.0107875	0.0032583	0	0	0	0	0.0302503
ADH6	0.017269	0.003234	0.0110529	0.0058324	0.0638878	0.0233773	0	0.0137181	0.100373	0.038457	0.006793	0.0020656	0	0	0.0017304	0.0093514	0.0088414	0.0037731	0.0312067	0.0026784	0.0216986	0.0060614	0.0018188	0.0482859	0	0.010708	0	0.0140924	0.0237149	0.0125798	0.0017298	0.0141245	0.0018328	0.105005
ADH1A	0	0	0	0.0118455	0.0102438	0.0059349	0.0060834	0.0238811	0.0101928	0	0	0	0	0.006789	0	0	0	0	0.0135815	0	0	0	0	0.0056578	0	0	0	0	0	0	0	0	0	0.0103192
ADH1B	0	0	0.0034823	0.0073501	0.0015891	0	0	0.0037045	0.0031623	0	0.0021402	0	0	0.0021063	0	0	0	0	0.0063204	0.0012657	0.0041017	0	0	0	0.0014849	0	0	0	0	0	0.0016349	0.0033375	0	0
ADH1C	0	0	0.017138	0.117563	0.0078206	0.0090618	0	0.0546954	0.451334	0	0.252787	0.0192167	0	0	0.0080491	0.0978733	0	0.0087756	0.0051843	0.0031147	0.0100934	0	0.0169205	0.0086388	0.003654	0.0049809	0	0.0468231	0	0	0	0	0	0.0393904
ADH7	0.0043688	0	0	0	0.0051039	0	0	0.0118987	0	0	0	0	0.0074616	0.0067652	0.0026265	0	0	0.0057272	0	0	0	0.0115007	0	0.0169138	0	0.0065014	0	0.0091675	0.0415347	0	0	0	0	0
MANBA	24.74	15.3725	5.53724	14.2322	5.64453	13.6807	17.51	34.1399	16.5223	15.9145	14.9527	13.1118	12.4008	11.2163	16.6012	6.05653	20.5163	8.39472	42.025	21.6105	28.3375	22.4763	34.5917	25.546	15.8215	8.6503	10.3974	13.75	10.3229	9.24005	15.9877	32.135	8.01132	28.9731
PPA2	19.0179	29.8913	7.53428	11.8135	9.61234	25.0159	12.3321	22.0053	10.6652	16.2725	14.2852	25.4533	26.0391	26.4698	24.6406	27.0517	13.4618	11.0065	12.0725	18.1736	32.2967	23.078	22.9052	19.4263	24.9643	17.7653	15.2068	20.0549	17.5104	15.8478	18.0833	12.1429	14.0924	13.1986
PAPSS1	29.7439	43.7559	29.4654	26.0017	33.7768	3.8937	11.743	19.8134	43.2987	21.3028	17.4235	15.9896	8.05631	30.1769	17.2127	24.9168	41.0273	16.922	26.4498	51.947	32.0849	38.1246	37.5497	41.3276	57.7056	29.9687	11.7904	50.1798	19.5754	13.4144	95.646	32.1168	18.7869	12.8457
SGMS2	0.281407	0.0169037	0.133669	1.25049	0.187126	0.235995	0.0331542	0.140995	0.448513	0.115512	0.115569	0.160044	0.0161216	0.0178145	0.914023	0.387196	1.1662	0.711142	1.29942	0.0856437	1.32096	0.108092	0.498812	0.162165	2.87121	0.0131692	0.027422	0.0680881	0.717928	0.024926	0.0223377	1.10632	0.302052	0.0083316
CYP2U1	1.4192	1.96507	1.41331	1.04015	1.73897	1.54754	0.0635754	2.45462	0.959984	1.20714	1.42774	0.163606	0.029265	0.0138437	1.11928	1.2502	1.33192	0.814519	1.60455	0.668658	1.05646	0.0964894	1.2951	1.03977	0.980852	0.0332598	0.022162	0.154766	0.43488	0.182346	0.13298	0.009597	1.36489	0.0052605
HADH	18.2978	35.5164	16.5776	36.0781	23.1568	32.96	26.5199	39.2183	36.9586	29.8674	43.782	15.5705	20.5332	32.975	37.2225	21.4892	30.5074	25.9488	30.7654	37.7286	35.6287	34.2201	43.2482	38.9401	42.4017	30.8037	21.0693	30.0416	21.3333	17.4491	26.2211	24.6229	28.5904	15.1685
ETNPPL	0	0.0052853	0.0572022	0.0254184	0.252787	0.0254704	0.006527	0.0128112	0	0.082189	0.0037006	0	0.0026779	0.029136	0	0.787078	0	0	0	0.0043773	0.0035462	0	0	0.0151757	0	0	0	0.0164509	0	0.134777	0.257259	0	0	0.0055358
PLA2G12A	3.05557	3.2273	3.95715	6.02621	4.68551	1.64585	2.89988	6.27402	3.45095	3.57997	5.6697	2.11943	1.00606	1.3664	3.26315	7.20795	3.57387	1.13178	5.89677	2.53429	1.45076	2.77112	1.89778	1.9286	2.52591	4.75631	3.0996	5.22246	1.32835	4.52115	5.69108	2.75681	3.04385	6.08216
ELOVL6	5.61464	9.28264	9.64893	5.82676	10.4398	0.0396618	4.86131	5.55191	35.6953	7.3559	5.2456	0.234481	0.85725	8.00432	0.0202833	33.7898	6.59742	0.0314255	3.22759	0.0380051	8.01335	6.37964	9.66785	1.29127	4.7542	23.5775	1.96765	19.0043	1.24361	7.76966	7.86519	0.0272313	4.72995	1.15563
UGT8	0.818756	0.0372162	0.0067837	0.812573	0.0325038	3.18341	1.53136	0.663934	0.0308019	4.79865	0.102145	0.0152131	0.54608	0.0656506	2.88815	0.0215228	0.0529076	0.922251	1.83049	0.061644	0.155815	0.0292963	0.195905	0.0153876	1.55628	0.203074	0.41711	0.10935	0.362755	0.0128681	0.149695	0.0032508	0.0084368	0.417862
NDST4	0.0324901	0.0060845	0	0	0.0042175	0	0	0.0073741	0	0	0	0	0	0.0195659	0	0.0039098	0.0055448	0.0023663	0.0167751	0	0	0.005702	0	0	0.0098528	0.0080584	0	0.0101004	0	0	0	0	0.0022989	0
NDST3	0.0668394	0.36026	0	0.0084653	0	0.0706889	3.44613	0.0113777	0.0060702	0.0193216	0.0065731	0.0044971	0.0011891	0.0177897	0.0012558	0.0248838	0.253448	0.0287515	0.0064706	0.0009719	0.0031494	0.0120969	0.0171589	0.0026955	0.0045606	0.488015	0.002589	0	0.0026477	0.0071006	0	0	0.0013301	2.20745
PDE5A	0.117406	0.18634	0.806874	0.19628	2.36436	0.185755	0.169023	0.256812	0.327554	0.162908	0.154715	0.0610885	0.071854	0.117039	0.264697	0.131128	0.0834029	0.0423265	0.139801	0.132473	0.118387	0.186215	0.202172	0.195074	0.144997	0.24024	0.124607	0.359286	0.119062	0.0506031	0.183462	0.0846247	0.0831764	0.25562
NDUFC1	29.0915	9.46845	8.17584	15.7886	10.682	37.9478	14.0478	19.5938	17.9938	19.9892	23.0668	34.8557	23.1889	20.0003	16.7941	17.2206	12.2232	13.1944	19.7432	14.1077	21.012	14.1888	11.6552	11.7894	16.9072	10.5361	26.449	42.0471	23.6648	13.6883	22.2837	12.1548	12.8086	7.81321
SETD7	1.4586	5.76997	2.81905	4.12234	5.5863	5.04779	2.38406	8.11039	2.82319	5.84681	4.64995	1.5715	3.79489	6.50313	5.56553	3.93233	2.72209	2.78202	4.28988	9.62969	5.1353	8.65054	6.26887	5.39356	4.19685	0.10254	2.2239	10.6726	2.87668	2.96295	2.94076	5.08695	4.49325	4.24517
MGST2	15.4162	6.93229	17.1461	17.9715	26.1303	21.5749	11.4298	9.94617	17.6754	10.3194	12.6005	21.7298	20.4026	22.5021	13.9132	17.0295	20.8388	13.7789	19.5063	14.727	21.7991	1.596	18.378	12.4285	20.2505	18.8469	2.41457	27.6891	11.6214	11.1894	26.2582	16.4925	11.6439	8.28435
INPP4B	2.15867	0.900864	1.30842	0.802151	2.91774	4.99745	4.31217	0.896754	0.873748	1.67179	3.83685	0.292788	0.0151474	0.0309009	0.294861	0.0196907	0.101485	5.54532	1.26795	0.0099038	0.0133725	0.031752	3.79194	3.52401	2.06764	1.18982	0.0296811	2.08872	0.08488	0.0142134	0.498378	0.0631091	1.05782	8.88129
LRAT	0.0033385	0.0028134	0.317314	0.0157855	0.18819	0.0045194	0.0034744	0.0204585	0.0009702	0.157843	0.005253	0.0083859	0.0009503	0	0.0010036	0.0009039	0	0.0021883	0.0025856	0.0038834	0	0.0035154	0	0.0323128	0.005467	0.0012421	0	0.0093408	0	0.0008107	0.0030097	0	0	0
TDO2	0.045725	0.0051378	0.0204863	0.0061772	0.002671	0.653033	0.0063448	0.0124536	0.0292346	0	0.0215839	0	0	0	0.904433	0	0	0.0029972	1.06592	0.0063826	0.189598	0.0505558	0.0115579	0.0295044	0.376886	0	0.0085015	2.20686	0.101434	0.0022206	0.0164887	0.0084148	0.0087354	0.0269064
TKTL2	0.0089222	0	0.0371191	0	0.0364829	0.0241563	0.0061902	0.0060751	0.0155577	0	0	0	0.0050795	0.0034541	0	0	0	0.0263174	0.00691	0.0020757	0	0	0.0169144	0	0.0024351	0	0	0.096733	0	0	0.0107247	0	0	0
MSMO1	24.015	11.4723	5.32105	17.6	16.1357	16.5724	8.34577	23.1644	25.7546	10.3503	6.70986	9.72368	22.4297	11.8738	16.1956	11.8808	6.80452	6.96477	18.6022	10.0321	47.6223	6.76167	8.09384	6.18943	12.0818	4.49771	10.8357	9.83838	15.6413	1.47195	11.2972	99.8781	18.9531	5.16309
CBR4	3.80659	4.98218	12.1486	3.77969	13.4707	2.69425	6.20089	4.83527	5.79125	6.94773	2.73868	5.17494	4.52526	4.72111	6.81041	4.56534	4.84876	2.36158	5.32081	6.12742	5.21699	3.71137	3.46218	5.00865	6.5116	9.37175	6.02417	12.0061	5.57656	3.7359	8.88986	5.28444	2.83705	6.67014
AADAT	0.0346943	0.009746	0.0277575	2.32594	0.0025333	0.534242	4.18235	12.8481	0.128555	0.566095	0.63461	0.0373491	0.014814	0.0134314	0.0052146	0.0070453	12.0733	0.261526	0.0671744	0.0080715	0.0196172	0	0.005481	0.0223867	1.58844	0.0225885	0.0188143	0.588493	0.0192411	0.0716085	1.15727	0.007981	6.20832	10.6977
GALNTL6	0.0026947	0.0022709	0.0112108	0.183842	0.0133798	0.105789	0.379529	0.766038	0.0148795	0.0380831	0	0.0019339	0.0007671	0	0.0040502	0.0087554	0.0672581	0.195179	0.0093914	0.0012538	0.0030473	0.0340503	0.0187314	0.0121715	0.0080901	0	0.0033401	0.0179064	0.001708	0.0045803	0.0226737	0	0.777356	5.91775
GALNT7	16.2161	11.2594	13.8991	17.5313	23.2263	8.54529	18.4181	29.8629	12.565	14.0882	13.1705	9.37085	5.54542	7.95015	22.9472	9.09044	21.621	2.07597	26.0716	14.0709	20.2186	18.8847	13.3121	10.9179	8.17797	8.95907	11.8697	13.5523	6.79745	7.34979	15.5724	9.99922	8.87409	35.4781
HPGD	0.753543	0.12196	194.152	0.495517	194.458	0.0033778	21.6257	0.0356781	52.0709	0.0397512	3.94569	0.0787924	0.0326724	0.0193194	1.13109	0.709369	0.243362	0.0114487	0.602922	0.0174147	0.0112868	0.0105097	0.0078838	0.0177103	10.6822	14.5262	0.023196	6.11556	0.0047444	0.122388	19.2042	0.0321432	0.0460796	8.85068
AGA	8.00121	14.4916	8.72184	18.3973	4.44257	16.3431	3.43572	6.21651	14.7589	12.5453	4.51886	9.94937	6.1364	16.444	34.895	0.393599	4.81505	17.0702	12.8328	25.7798	25.5409	29.0124	11.1504	15.1987	16.3088	17.5573	7.87402	26.7308	14.1352	13.3533	12.878	5.70571	4.87322	7.96992
DCTD	31.6302	19.9723	39.0687	32.4838	35.2492	25.1659	28.3804	21.4562	27.7094	30.9096	12.6132	18.4258	24.7402	20.6075	25.0226	20.945	30.5207	41.4447	19.0242	38.6226	18.706	26.5753	31.4948	32.864	23.011	34.5776	25.6654	31.1351	20.4872	18.3024	41.0407	14.9076	24.1274	29.0782
ENPP6	1.26862	0	0.0133423	0	0.0017396	0	0.0041323	0.0020277	0.0034618	0	0	0	0.105115	0.0783958	0.0447598	0.0370904	0	0.349408	0	0.338093	0.761095	0.0031358	0.0018818	0.263254	0.0048766	0.0177269	0.0018456	0.004166	0	0.0043387	0.0017898	0	0.0018964	0.0035047
ACSL1	22.0188	9.59435	9.8268	6.83479	10.2607	10.7533	12.544	7.86709	7.74703	15.7989	2.2247	7.5552	23.9171	33.3969	106.487	8.26847	4.38029	38.3225	9.27229	28.1766	32.2557	49.5364	13.0632	13.8307	6.42235	3.14006	18.3704	23.7204	25.8161	2.78163	34.0079	24.7455	12.5334	14.4552
SDHA	35.4678	49.1943	52.0567	43.9229	62.6053	45.4462	48.2116	35.9343	54.672	68.1429	58.7084	38.832	81.9022	67.0303	53.2363	89.4552	48.8932	124.753	41.7069	36.6414	58.3856	57.4126	58.9122	53.5053	137.03	72.7373	88.5224	54.103	94.6615	105.817	42.6193	34.1518	41.6672	38.1156
LPCAT1	14.1449	27.9297	11.7829	16.0037	18.8427	11.602	11.5358	21.631	9.39961	16.6521	26.064	11.9808	41.3243	7.60585	28.2526	25.0293	26.2415	78.2471	13.1363	4.73106	23.8005	37.8639	35.4366	10.5405	36.6089	1.79545	25.0687	1.03197	40.081	8.66877	5.87191	27.0617	16.6881	20.451
NDUFS6	67.8923	33.9537	46.074	21.6778	34.8719	43.3399	22.1053	27.3615	35.99	42.89	33.5383	67.8158	54.6561	36.6879	33.6002	52.782	25.5954	32.7409	25.9115	27.8965	36.9392	38.3159	22.4491	31.5714	91.0047	35.0404	62.5938	26.5534	64.0628	44.9773	45.3114	39.2314	51.5076	8.84648
SRD5A1	1.13269	5.01589	5.82458	2.85095	6.00516	1.06401	2.755	6.23738	7.30949	3.68294	3.85247	1.88235	1.15485	0.440169	2.25786	10.8984	3.41005	4.83581	1.30751	1.08412	2.62676	3.41488	1.64927	3.29032	11.5593	6.50215	4.58295	11.4203	3.46673	10.1671	7.89987	3.12276	3.86981	4.23226
ADCY2	0.0027221	0	0.0182939	0.0091936	0.0047703	0.0018425	0.012276	0.0222417	0.0015822	0.009093	0.0064247	0.0019536	0.0069738	0.0031615	0	0.000737	0.004181	0.0107057	0.0021082	0.0063329	0.0205222	0.0014332	0	0.0008782	2.92719	0.0010127	0	0.0057121	0.002588	0.000661	0.0139061	0.0025048	0.0017335	0.0464521
PRDM9	0.0032223	0.412757	0.0041248	0	0.0037646	0	0	0	0	0.0198716	0	0	0	0	0	0.0069797	0	0	0	0.0014993	0	0	0	0	0.0035178	0	0	2.43196	0	0	0.0058099	0	0	0
AMACR	2.09415	4.8742	2.69347	2.42494	3.25543	2.06349	2.99086	2.7451	1.974	2.25783	1.82909	1.72785	1.66263	2.15971	3.12615	1.80671	2.62354	4.38507	3.30991	1.76981	3.51845	1.81361	3.74857	1.93405	5.71553	1.92922	1.66162	2.1125	1.98283	3.79684	2.58057	2.4504	1.15395	3.76558
AGXT2	0	0	0	0.0035577	0	0	0	0.0035862	0	0.0027067	0	0	0	0	0.0031665	0	0	0	0	0	0.0119122	0.002773	0	0	0.0143748	0	0	0	0.0033382	0	0	0	0	0
NADK2	10.1992	16.4616	8.08751	8.54078	9.2268	12.5909	9.63407	10.9411	6.60977	9.32287	10.8028	8.03863	9.76552	8.36482	9.28901	12.9229	7.8518	9.044	8.27937	6.79224	7.89518	11.9964	11.3399	9.40331	16.7275	20.1306	9.84235	16.1018	8.70839	28.6066	15.5003	16.2964	9.27319	19.8202
OXCT1	23.753	15.1106	23.8929	18.657	39.3644	10.9834	16.3599	28.1934	11.3969	22.4733	28.9731	16.5856	12.1666	26.422	29.1576	6.1733	0.125322	18.3121	7.71683	13.7323	20.6978	34.3355	18.5203	22.0594	32.2487	26.1568	5.64733	26.004	33.3391	2.34736	7.11241	15.4759	54.4941	13.1322
