pathway_id	pathway_name	describtion	pathway_class	p_value	p_value_adjust	all_id	all_number	mapped_id	mapped_number	mapped_percentage
hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Heparan sulfate (HS) and heparin (Hep) are glycosaminoglycans with repeating disaccharide units that consist of alternating residues of alpha-D-glucosamine (GlcN) and uronic acid, the latter being either beta-D-glucuronic acid (GlcA) or alpha-L-iduronic acid (IdoA). In these sugar residues, sulfation modification may be performed at various positions. Structural studies show that Hep possesses a higher degree of sulfation than HS. The biosynthesis of HS/Hep occurs with the addition of the first GlcNAc residue by EXTL3 glycosyltransferase after completion of tetrasaccharide linkage region attached to serine residue of a core protein. The chain polymeraization is then catalyzed by EXT1 and EXT2 transferases. As the chain polymerizes, HS/Hep undergoes a series of modification reactions including N-deacetylation, N-sulfation, epimerization, and subsequently O-sulfation. As final products of biosynthesis, HS is present in the form of hepran sulfate proteoglycan (HSPG) whereas Hep exists as a sugar chain without a core protein. The proteoglycan families with HS, as well as CS (chondroitin sulfate), DS (dermatan sulfate), and KS (keratan sulfate), are composed of two main types depending on the subcellular locations: cell membrane and extracellular matrix [BR:ko00535]. HS/Hep has been shown to bind to a variety of molecules, such as growth factors, chemokines, morphogens, and extracellular matrix components [BR:ko00536].	Metabolism; Glycan biosynthesis and metabolism	1	1	C00033;C00053;C00054;G00157;G00162;G00163;G00164	7		0	0
hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Cell surface proteins can be attached to the cell membrane via the glycolipid structure called glycosylphosphatidylinositol (GPI) anchor. Hundreds of GPI-anchored proteins have been identified in many eukaryotes ranging from protozoa and fungi to mammals. All protein-linked GPI anchors share a common core structure, characterized by the substructure Man (a1-4) GlcN (a1-6) myo-inositol-1P-lipid. Biosynthesis of GPI anchors proceeds in three stages: (i) preassembly of a GPI precursor in the ER membrane, (ii) attachment of the GPI to the C-terminus of a newly synthesized protein in the lumen of the ER, and (iii) lipid remodeling and/or carbohydrate side-chain modifications in the ER and the Golgi. Defects of GPI anchor biosynthesis gene result in a genetic disorder, paroxysmal nocturnal hemoglobinuria.	Metabolism; Glycan biosynthesis and metabolism	1	1	C00154;C00346;C00350;C01194;G00143;G00144;G00145;G00146;G00148;G00149;G10610;G10617;G12396;G13044;G13046;G13128;G13150;G13151;G13152	19		0	0
hsa00565	Ether lipid metabolism	NA	Metabolism; Lipid metabolism	0.568443822632193	1	C00670;C00958;C01233;C01264;C02773;C03201;C03372;C03454;C03715;C03820;C03968;C04317;C04361;C04475;C04517;C04598;C04635;C04756;C05212;C05977;C15645;C15646;C15647;C20825;C20859	25	C00670	1	4
hsa00590	Arachidonic acid metabolism	NA	Metabolism; Lipid metabolism	1	1	C00157;C00219;C00427;C00584;C00639;C00696;C00909;C01312;C02165;C02166;C02198;C03577;C04577;C04742;C04805;C04822;C04853;C05356;C05949;C05950;C05951;C05952;C05953;C05954;C05955;C05956;C05957;C05958;C05959;C05960;C05961;C05962;C05963;C05964;C05965;C05966;C06314;C06315;C06462;C13809;C14717;C14732;C14748;C14749;C14768;C14769;C14770;C14771;C14772;C14773;C14774;C14775;C14776;C14777;C14778;C14779;C14780;C14781;C14782;C14794;C14795;C14807;C14808;C14809;C14810;C14811;C14812;C14813;C14814;C14815;C14820;C14821;C14822;C14823;C14824	75		0	0
hsa00592	alpha-Linolenic acid metabolism	NA	Metabolism; Lipid metabolism	1	1	C00157;C01226;C04672;C04780;C04785;C06427;C08491;C08492;C11512;C16300;C16308;C16309;C16310;C16311;C16316;C16317;C16318;C16319;C16320;C16321;C16322;C16323;C16324;C16325;C16326;C16327;C16328;C16330;C16331;C16332;C16334;C16335;C16336;C16338;C16339;C16341;C16342;C16343;C16344;C16345;C16346;C19757;C21923;C21924	44		0	0
hsa00600	Sphingolipid metabolism	NA	Metabolism; Lipid metabolism	0.568443822632193	1	C00065;C00154;C00195;C00319;C00346;C00550;C00836;C01120;C01190;C01290;C01747;C02686;C02934;C02960;C03640;C05681;C06062;C06124;C06125;C06126;C06127;C06128;C12126;C12144;C12145	25	C00065	1	4
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	NA	Metabolism; Glycan biosynthesis and metabolism	1	1	G00036;G00037;G00038;G00039;G00040;G00042;G00043;G00044;G00045;G00046;G00047;G00048;G00050;G00051;G00052;G00054;G00055;G00056;G00057;G00058;G00059;G00060;G00061;G00062;G00063;G00064;G00066;G00067;G00068;G00069;G00071;G00072;G00073;G00074;G00075;G00076;G00077;G00078;G00079;G00080;G00081;G00082;G00083;G00084;G00085;G00086;G00087;G00088;G00089;G00090;G00091;G00092;G00428;G00889	54		0	0
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	NA	Metabolism; Glycan biosynthesis and metabolism	1	1	G00092;G00093;G00094;G00095;G00096;G00097;G00098;G00099;G00100;G00101;G00102;G00103;G00104;G00105;G00106;G00107;G00181;G00392;G00403;G02977;G11492;G13080;G13081	23		0	0
hsa00604	Glycosphingolipid biosynthesis - ganglio series	NA	Metabolism; Glycan biosynthesis and metabolism	1	1	G00092;G00108;G00109;G00110;G00111;G00112;G00113;G00114;G00115;G00116;G00117;G00118;G00119;G00120;G00121;G00122;G00123;G00124;G00125;G00126;G00127;G00128;G00129;G00130;G00131;G00132;G00166;G00167;G00168;G00169;G00170	31		0	0
hsa00670	One carbon pool by folate	NA	Metabolism; Metabolism of cofactors and vitamins	1	1	C00101;C00143;C00234;C00415;C00440;C00445;C00504;C00664;C03479	9		0	0
hsa00740	Riboflavin metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	0.553638046857342	1	C00016;C00044;C00061;C00199;C00235;C00255;C00474;C01007;C01268;C01304;C01352;C01390;C01727;C01847;C03114;C04332;C04454;C04732;C05995;C15556;C15563;C18910;C21214;C21215	24	C00255	1	4.16666666666667
hsa00785	Lipoic acid metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	1	1	C01944;C02051;C02147;C02972;C05752;C06423;C15972;C15973;C16238;C16241;C22159;C22160;C22161	13		0	0
hsa00790	Folate biosynthesis	NA	Metabolism; Metabolism of cofactors and vitamins	1	1	C00044;C00101;C00119;C00156;C00251;C00266;C00268;C00272;C00415;C00504;C00568;C00835;C00921;C01217;C01300;C01304;C02587;C02953;C03541;C03684;C04244;C04807;C04874;C04895;C05922;C05923;C05924;C05925;C05926;C05927;C06148;C06313;C09332;C11355;C15522;C15996;C16675;C18237;C18239;C18802;C19848;C19871;C20239;C20248;C20264;C20559;C20562;C20566;C20567;C21007;C21008;C21065;C21094;C21107;C21310;C21485;C21486;C21640	58		0	0
hsa00830	Retinol metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	1	1	C00376;C00473;C00777;C00778;C00899;C02075;C02094;C02110;C02588;C03455;C05914;C05915;C05916;C05917;C11061;C15492;C15493;C16677;C16678;C16679;C16680;C16681;C16682;C16683;C21797	25		0	0
hsa00860	Porphyrin metabolism	Porphyrins are a group of chemical compounds with the backbone ring structure consisting of four linked pyrrole units. Metal complexes of porphyrins, as well as those of corrinoids with the one-carbon shorter ring structure, play important biological roles. They include iron-containing heme, magnesium-containing chlorophyll, nickel-containing coenzyme F430 and cobalt-containing cobamide (such as vitamin B12 coenzyme) as shown in this map.	Metabolism; Metabolism of cofactors and vitamins	0.960476408383997	1	C00025;C00032;C00037;C00188;C00194;C00430;C00486;C00500;C00524;C00541;C00748;C00853;C00931;C00992;C01024;C01051;C01079;C01708;C02139;C02191;C02463;C02469;C02800;C02823;C02880;C02987;C03029;C03114;C03179;C03194;C03263;C03373;C03516;C03741;C04122;C04536;C04778;C05306;C05307;C05766;C05767;C05768;C05769;C05770;C05772;C05773;C05774;C05775;C05777;C05778;C05779;C05780;C05781;C05782;C05783;C05784;C05785;C05786;C05787;C05789;C05790;C05791;C05793;C05794;C05795;C05797;C05798;C05912;C05913;C06319;C06320;C06399;C06406;C06407;C06408;C06416;C06503;C06504;C06505;C06506;C06507;C06508;C06509;C06510;C11242;C11243;C11538;C11540;C11542;C11543;C11545;C11630;C11829;C11830;C11831;C11832;C11850;C11851;C12147;C14818;C14819;C15670;C15672;C16242;C16243;C16244;C16540;C16541;C17401;C18021;C18022;C18064;C18098;C18151;C18152;C18153;C18154;C18155;C18156;C18157;C18160;C18161;C18162;C18163;C19608;C20666;C21217;C21284;C21427;C21428;C21429;C21431;C21432;C21433;C21434;C21435;C21510;C21511;C21512;C21582;C21723;C21724;C21764;C21835;C22338;C22339;C22450;C22451	148	C00025;C00188	2	1.35135135135135
hsa00900	Terpenoid backbone biosynthesis	Terpenoids, also known as isoprenoids, are a large class of natural products consisting of isoprene (C5) units. There are two biosynthetic pathways, the mevalonate pathway [MD:M00095] and the non-mevalonate pathway or the MEP/DOXP pathway [MD:M00096], for the terpenoid building blocks: isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). The action of prenyltransferases then generates higher-order building blocks: geranyl diphosphate (GPP), farsenyl diphosphate (FPP), and geranylgeranyl diphosphate (GGPP), which are the precursors of monoterpenoids (C10), sesquiterpenoids (C15), and diterpenoids (C20), respectively. Condensation of these building blocks gives rise to the precursors of sterols (C30) and carotenoids (C40). The MEP/DOXP pathway is absent in higher animals and fungi, but in green plants the MEP/DOXP and mevalonate pathways co-exist in separate cellular compartments. The MEP/DOXP pathway, operating in the plastids, is responsible for the formation of essential oil monoterpenes and linalyl acetate, some sesquiterpenes, diterpenes, and carotenoids and phytol. The mevalonate pathway, operating in the cytosol, gives rise to triterpenes, sterols, and most sesquiterpenes.	Metabolism; Metabolism of terpenoids and polyketides	0.78797164901657	1	C00022;C00024;C00118;C00129;C00235;C00332;C00341;C00353;C00356;C00418;C00448;C01107;C01126;C01143;C01230;C02321;C03461;C04145;C04146;C04216;C04506;C04574;C04748;C05427;C05859;C06081;C11434;C11435;C11436;C11437;C11453;C11811;C16521;C16826;C17432;C18321;C19691;C19760;C19852;C19853;C20120;C20121;C20345;C20847;C20848;C22453	46	C00022	1	2.17391304347826
hsa00980	Metabolism of xenobiotics by cytochrome P450	NA	Metabolism; Xenobiotics biodegradation and metabolism	1	1	C00745;C00829;C02617;C03012;C06205;C06755;C06790;C06800;C06899;C07490;C07535;C11036;C11088;C11148;C11149;C11150;C11278;C11713;C11714;C14039;C14040;C14453;C14556;C14783;C14784;C14785;C14786;C14787;C14788;C14789;C14790;C14791;C14792;C14793;C14796;C14797;C14798;C14799;C14800;C14801;C14802;C14803;C14804;C14805;C14806;C14839;C14840;C14841;C14842;C14843;C14844;C14845;C14846;C14847;C14848;C14849;C14850;C14851;C14852;C14853;C14854;C14855;C14856;C14857;C14858;C14859;C14860;C14861;C14862;C14863;C14864;C14865;C14866;C14867;C14868;C14869;C14870;C14871;C14872;C14873;C14874;C14875;C14876;C14877;C16453;C16756;C19488;C19489;C19490;C19559;C19561;C19562;C19563;C19564;C19565;C19566;C19567;C19568;C19569;C19574;C19577;C19578;C19579;C19580;C19581;C19582;C19585;C19586;C19588;C19589;C19590;C19591;C19592;C19594;C19595;C19602;C19603;C19604;C19605;C19606;C19607	121		0	0
hsa00982	Drug metabolism - cytochrome P450	NA	Metabolism; Xenobiotics biodegradation and metabolism	1	1	C01471;C01516;C05011;C06174;C06754;C06868;C07047;C07073;C07108;C07163;C07185;C07492;C07493;C07495;C07496;C07501;C07572;C07643;C07644;C07645;C07646;C07647;C07888;C08012;C11004;C11583;C11785;C16544;C16545;C16546;C16547;C16548;C16549;C16550;C16551;C16552;C16553;C16554;C16555;C16556;C16557;C16558;C16559;C16560;C16561;C16569;C16570;C16571;C16572;C16576;C16577;C16578;C16582;C16584;C16586;C16587;C16591;C16592;C16595;C16596;C16601;C16602;C16603;C16604;C16605;C16606;C16607;C16608;C16609;C16610;C16612;C16643;C16648;C16649;C16650;C16651;C16652;C16653;C16654;C16655;C16656;C16657;C16658;C16659;C16660;C16661;C16662;D00195;D00252;D00343;D00358;D00399;D00533;D00536;D04716;D07704;D07760;D08195;D08233;D08559	100		0	0
hsa00983	Drug metabolism - other enzymes	NA	Metabolism; Xenobiotics biodegradation and metabolism	1	1	C00003;C00006;C02320;C02380;C04242;C04646;C05361;C06108;C06837;C07054;C07446;C07447;C07585;C07648;C07649;C11173;C11376;C11736;C12650;C12673;C12739;C13252;C16542;C16543;C16613;C16614;C16615;C16616;C16617;C16618;C16619;C16620;C16621;C16622;C16623;C16624;C16625;C16630;C16631;C16632;C16633;C16634;C16635;C16641;C21748;C21749;C21750;C21751;C21754;C21758;C21759;C21760;D00238;D00346;D00584;D01223;D01244;D01309;D01784;D04197;D04931;D08086;D08603	63		0	0
hsa01040	Biosynthesis of unsaturated fatty acids	NA	Metabolism; Lipid metabolism	0.443149268229791	1	C00154;C00219;C00249;C00412;C00510;C00712;C01203;C01530;C01595;C02041;C02050;C02249;C03035;C03242;C03595;C04088;C05764;C06425;C06426;C06427;C06428;C06429;C08281;C08316;C08320;C08323;C16160;C16161;C16162;C16163;C16164;C16165;C16166;C16167;C16168;C16169;C16170;C16171;C16172;C16173;C16179;C16180;C16513;C16522;C16525;C16526;C16527;C16528;C16529;C16530;C16531;C16532;C16533;C16645;C17279;C21072;C21932;C21934;C21935;C21937;C21939;C21941;C21943;C21945;C21947;C21949;C21951;C21953;C21959;C21961;C21963;C21965;C21967;C21981	74	C03242;C06429;C16513	3	4.05405405405405
hsa03320	PPAR signaling pathway	Peroxisome proliferator-activated receptors (PPARs) are nuclear hormone receptors that are activated by fatty acids and their derivatives. PPAR has three subtypes (PPARalpha, beta/delta, and gamma) showing different expression patterns in vertebrates. Each of them is encoded in a separate gene and binds fatty acids and eicosanoids. PPARalpha plays a role in the clearance of circulating or cellular lipids via the regulation of gene expression involved in lipid metabolism in liver and skeletal muscle. PPARbeta/delta is involved in lipid oxidation and cell proliferation. PPARgamma promotes adipocyte differentiation to enhance blood glucose uptake.	Organismal Systems; Endocrine system	1	1	C02165;C14762;C14767;C14776;C15493	5		0	0
hsa04010	MAPK signaling pathway	The mitogen-activated protein kinase (MAPK) cascade is a highly conserved module that is involved in various cellular functions, including cell proliferation, differentiation and migration. Mammals express at least four distinctly regulated groups of MAPKs, extracellular signal-related kinases (ERK)-1/2, Jun amino-terminal kinases (JNK1/2/3), p38 proteins (p38alpha/beta/gamma/delta) and ERK5, that are activated by specific MAPKKs: MEK1/2 for ERK1/2, MKK3/6 for the p38, MKK4/7 (JNKK1/2) for the JNKs, and MEK5 for ERK5. Each MAPKK, however, can be activated by more than one MAPKKK, increasing the complexity and diversity of MAPK signalling. Presumably each MAPKKK confers responsiveness to distinct stimuli. For example, activation of ERK1/2 by growth factors depends on the MAPKKK c-Raf, but other MAPKKKs may activate ERK1/2 in response to pro-inflammatory stimuli.	Environmental Information Processing; Signal transduction	1	1	C00076;C00165;C00338;C00575;C01245	5		0	0
hsa04012	ErbB signaling pathway	The ErbB family of receptor tyrosine kinases (RTKs) couples binding of extracellular growth factor ligands to intracellular signaling pathways regulating diverse biologic responses, including proliferation, differentiation, cell motility, and survival. Ligand binding to the four closely related members of this RTK family -epidermal growth factor receptor (EGFR, also known as ErbB-1 or HER1), ErbB-2 (HER2), ErbB-3 (HER3), and ErbB-4 (HER4)-induces the formation of receptor homo- and heterodimers and the activation of the intrinsic kinase domain, resulting in phosphorylation on specific tyrosine residues (pY) within the cytoplasmic tail. Signaling effectors containing binding pockets for pY-containing peptides are recruited to activated receptors and induce the various signaling pathways. The Shc- and/or Grb2-activated mitogen-activated protein kinase (MAPK) pathway is a common target downstream of all ErbB receptors. Similarly, the phosphatidylinositol-3-kinase (PI-3K) pathway is directly or indirectly activated by most ErbBs. Several cytoplasmic docking proteins appear to be recruited by specific ErbB receptors and less exploited by others. These include the adaptors Crk, Nck, the phospholipase C gamma (PLCgamma), the intracellular tyrosine kinase Src, or the Cbl E3 ubiquitin protein ligase.	Environmental Information Processing; Signal transduction	1	1	C00076;C00165;C01245;C05981	4		0	0
hsa04062	Chemokine signaling pathway	Inflammatory immune response requires the recruitment of leukocytes to the site of inflammation upon foreign insult. Chemokines are small chemoattractant peptides that provide directional cues for the cell trafficking and thus are vital for protective host response. In addition, chemokines regulate plethora of biological processes of hematopoietic cells to lead cellular activation, differentiation and survival.{}The chemokine signal is transduced by chemokine receptors (G-protein coupled receptors) expressed on the immune cells. After receptor activation, the alpha- and beta-gamma-subunits of G protein dissociate to activate diverse downstream pathways resulting in cellular polarization and actin reorganization. Various members of small GTPases are involved in this process. Induction of nitric oxide and production of reactive oxygen species are as well regulated by chemokine signal via calcium mobilization and diacylglycerol production.	Organismal Systems; Immune system	1	1	C00076;C00165;C00575;C01245;C05981	5		0	0
hsa04064	NF-kappa B signaling pathway	Nuclear factor-kappa B (NF-kappa B) is the generic name of a family of transcription factors that function as dimers and regulate genes involved in immunity, inflammation and cell survival. There are several pathways leading to NF-kappa B-activation. The canonical pathway is induced by tumour necrosis factor-alpha (TNF-alpha), interleukin-1 (IL-1) or byproducts of bacterial and viral infections. This pathway relies on IKK- mediated IkappaB-alpha phosphorylation on Ser32 and 36, leading to its degradation, which allows the p50/p65 NF-kappa B dimer to enter the nucleus and activate gene transcription. Atypical pathways are IKK-independent and rely on phosphorylation of IkappaB-alpha on Tyr42 or on Ser residues in IkappaB-alpha PEST domain. The non-canonical pathway is triggered by particular members of the TNFR superfamily, such as lymphotoxin-beta (LT-beta) or BAFF. It involves NIK and IKK-alpha-mediated p100 phosphorylation and processing to p52, resulting in nuclear translocation of p52/RelB heterodimers.	Environmental Information Processing; Signal transduction	1	1	C00076;C00165;C01245	3		0	0
hsa04070	Phosphatidylinositol signaling system	NA	Environmental Information Processing; Signal transduction	0.622953427646589	1	C00076;C00137;C00269;C00416;C00641;C01177;C01194;C01204;C01220;C01243;C01245;C01272;C01277;C01284;C03546;C04006;C04062;C04063;C04477;C04549;C04637;C05981;C11174;C11526;C11554;C11555;C11556;C11557;C20690	29	C00137	1	3.44827586206897
hsa04114	Oocyte meiosis	During meiosis, a single round of DNA replication is followed by two rounds of chromosome segregation, called meiosis I and meiosis II. At meiosis I, homologous chromosomes recombine and then segregate to opposite poles, while the sister chromatids segregate from each other at meoisis II. In vertebrates, immature oocytes are arrested at the PI (prophase of meiosis I). The resumption of meiosis is stimulated by progesterone, which carries the oocyte through two consecutive M-phases (MI and MII) to a second arrest at MII. The key activity driving meiotic progression is the MPF (maturation-promoting factor), a heterodimer of CDC2 (cell division cycle 2 kinase) and cyclin B. In PI-arrested oocytes, MPF is initially inactive and is activated by the dual-specificity CDC25C phosphatase as the result of new synthesis of Mos induced by progesterone. MPF activation mediates the transition from the PI arrest to MI. The subsequent decrease in MPF levels, required to exit from MI into interkinesis, is induced by a negative feedback loop, where CDC2 brings about the activation of the APC (anaphase-promoting complex), which mediates destruction of cyclin B. Re-activation of MPF for MII requires re-accumulation of high levels of cyclin B as well as the inactivation of the APC by newly synthesized Emi2 and other components of the CSF (cytostatic factor), such as cyclin E or high levels of Mos. CSF antagonizes the ubiquitin ligase activity of the APC, preventing cyclin B destruction and meiotic exit until fertilization occurs. Fertilization triggers a transient increase in cytosolic free Ca2+, which leads to CSF inactivation and cyclin B destruction through the APC. Then eggs are released from MII into the first embryonic cell cycle.	Cellular Processes; Cell growth and death	1	1	C00076;C00410;C00575;C01245	4		0	0
hsa04136	Autophagy - other	Autophagy is a degradative pathway for the removal of cytoplasmic materials in eukaryotic cells, and is characterized by the formation of a double-membrane structure called the autophagosome, either in a housekeeping capacity or during stress and senescence. The process of autophagy could be divided into several stages: induction, vesicle nucleation, elongation and closure, and fusion and digestion. Most essential autophagic machineries are conserved throughout eukaryotes (see map04140 for animals and map04138 for fungi). This map is for other eukaryotes including plants and protists, where autophagy related genes (ATGs) play similar roles in the life cycle. However, autophagy has been relatively less studied in lower eukaryotes.	Cellular Processes; Transport and catabolism	1	1	C00350;C01194;C04549	3		0	0
hsa04141	Protein processing in endoplasmic reticulum	The endoplasmic reticulum (ER) is a subcellular organelle where proteins are folded with the help of lumenal chaperones. Newly synthesized peptides enter the ER via the sec61 pore and are glycosylated. Correctly folded proteins are packaged into transport vesicles that shuttle them to the Golgi complex. Misfolded proteins are retained within the ER lumen in complex with molecular chaperones. Proteins that are terminally misfolded bind to BiP and are directed toward degradation through the proteasome in a process called ER-associated degradation (ERAD). Accumulation of misfolded proteins in the ER causes ER stress and activates a signaling pathway called the unfolded protein response (UPR). In certain severe situations, however, the protective mechanisms activated by the UPR are not sufficient to restore normal ER function and cells die by apoptosis.	Genetic Information Processing; Folding, sorting and degradation	1	1	C00076;G00009;G00010;G00011;G00012;G10694	6		0	0
hsa04145	Phagosome	Phagocytosis is the process of taking in relatively large particles by a cell, and is a central mechanism in the tissue remodeling, inflammation, and defense against infectious agents. A phagosome is formed when the specific receptors on the phagocyte surface recognize ligands on the particle surface. After formation, nascent phagosomes progressively acquire digestive characteristics. This maturation of phagosomes involves regulated interaction with the other membrane organelles, including recycling endosomes, late endosomes and lysosomes. The fusion of phagosomes and lysosomes releases toxic products that kill most bacteria and degrade them into fragments. However, some bacteria have strategies to escape the bactericidal mechanisms associated with phagocytosis and survive within host phagocytes.	Cellular Processes; Transport and catabolism	1	1	C04549	1		0	0
hsa04210	Apoptosis	Apoptosis is a genetically programmed process for the elimination of damaged or redundant cells by activation of caspases (aspartate-specific cysteine proteases). The onset of apoptosis is controlled by numerous interrelating processes. The 'extrinsic' pathway involves stimulation of members of the tumor necrosis factor (TNF) receptor subfamily, such as TNFRI, CD95/Fas or TRAILR (death receptors), located at the cell surface, by their specific ligands, such as TNF-alpha, FasL or TRAIL, respectively. The 'intrinsic' pathway is activated mainly by non-receptor stimuli, such as DNA damage, ER stress, metabolic stress, UV radiation or growth-factor deprivation. The central event in the 'intrinsic' pathway is the mitochondrial outer membrane permeabilization (MOMP), which leads to the release of cytochrome c. These two pathways converge at the level of effector caspases, such as caspase-3 and caspase-7. The third major pathway is initiated by the constituents of cytotoxic granules (e.g. Perforin and Granzyme B) that are released by CTLs (cytotoxic T-cells) and NK (natural killer) cells. Granzyme B, similarly to the caspases, cleaves its substrates after aspartic acid residues, suggesting that this protease has the ability to activate members of the caspase family directly. It is the balance between the pro-apoptotic and anti-apoptotic signals that eventually determines whether cells will undergo apoptosis, survive or proliferate. TNF family of ligands activates anti-apoptotic or cell-survival signals as well as apoptotic signals. NGF and Interleukin-3 promotes the survival, proliferation and differentiation of neurons or hematopoietic cells, respectively. Withdrawal of these growth factors leads to cell death, as described above.	Cellular Processes; Cell growth and death	1	1	C00027;C00076;C00319;C05981	4		0	0
hsa04213	Longevity regulating pathway - multiple species	Aging is a complex process of accumulation of molecular, cellular, and organ damage, leading to loss of function and increased vulnerability to disease and death. Despite the complexity of aging, recent work has shown that dietary restriction (DR) and genetic down-regulation of nutrient-sensing pathways, namely IIS (insulin/insulin-like growth factor signalling) and TOR (target-of- rapamycin) can substantially increase healthy life span of laboratory model organisms. These nutrient signaling pathways are conserved in various organisms. In worms, flies, and mammals, DR reduces signalling through IIS/TOR pathways, deactivating the PI3K/Akt/TOR intracellular signalling cascade and consequently activating the antiaging FOXO family transcription factor(s). In yeast, the effects of DR on life- span extension are associated with reduced activities of the TOR/Sch9 and Ras/PKA pathways and require the serine-threonine kinase Rim15 and transcription factors Gis1 and Msn2/4. These transcription factors (FOXO, DAF-16, Gis1, and Msn2/4) transactivate genes involved in resistance to oxidative stress, energy metabolism, DNA damage repair, glucose metabolism, autophagy and protection of proteins by chaperones.	Organismal Systems; Aging	1	1	C00575;C05981	2		0	0
hsa04217	Necroptosis	Necroptosis is a programmed form of necrosis. It can be initiated by different stimuli, such as tumor necrosis factor (TNF), TNF-related apoptosis-inducing ligand (TRAIL), Fas ligand (FasL), interferon (IFN), LPS, viral DNA or RNA, DNA-damage agent and requires the kinase activity of receptor-interacting protein 1 (RIPK1) and RIPK3. Its execution involves ROS generation, calcium overload, the opening of the mitochondrial permeability transition pore, mitochondrial fission, inflammatory response and chromatinolysis. Necroptosis participates in many pathogenesis of diseases, including neurological diseases, retinal disorders, acute kidney injury, inflammatory diseases and microbial infections.	Cellular Processes; Cell growth and death	1	1	C00002;C00027;C00076;C00195;C00219;C00305;C00319;C00550;C14592;C16844	10		0	0
hsa04218	Cellular senescence	Cellular senescence is a state of irreversible cellular arrest and can be triggered by a number of factors, such as telomere shortening, oncogene activation, irradiation, DNA damage and oxidative stress. It is characterized by enlarged flattened morphology, senescence-associated beta-galactosidase (SA-b-gal) activity, secretion of inflammatory cytokines, growth factors and matrix metalloproteinases, as part of the senescence-associated secretory phenotype (SASP). Cellular senescence is functionally associated with many biological processes including aging, tumor suppression, placental biology, embryonic development, and wound healing.	Cellular Processes; Cell growth and death	1	1	C00027;C00076;C05981;C07909;C16844	5		0	0
hsa04260	Cardiac muscle contraction	Contraction of the heart is a complex process initiated by the electrical excitation of cardiac myocytes (excitation-contraction coupling, ECC). In cardiac myocytes, Ca2+ influx induced by activation of voltage-dependent L-type Ca channels (DHP receptors) upon membrane depolarization triggers the release of Ca2+ via Ca2+ release channels (ryanodine receptors) of sarcoplasmic reticulum (SR) through a Ca2+ -induced Ca release (CICR) mechanism. Ca2+ ions released via the CICR mechanism diffuse through the cytosolic space to contractile proteins to bind to troponinC resulting in the release of inhibition induced by troponinI. The Ca2+ binding to troponinC thereby triggers the sliding of thin and thick filaments, that is, the activation of a crossbridge and subsequent cardiac force development and/or cell shortening. Recovery occurs as Ca2+ is pumped out of the cell by the Na+/Ca2+ exchanger (NCX) or is returned to the sarcoplasmic reticulum (SR) by sarco(endo)plasmic Ca2+ -ATPase (SERCA) pumps on the non-junctional region of the SR.	Organismal Systems; Circulatory system	1	1	C00076;C00080;C00238;C01330	4		0	0
hsa04270	Vascular smooth muscle contraction	The vascular smooth muscle cell (VSMC) is a highly specialized cell whose principal function is contraction. On contraction, VSMCs shorten, thereby decreasing the diameter of a blood vessel to regulate the blood flow and pressure.{}The principal mechanisms that regulate the contractile state of VSMCs are changes in cytosolic Ca2+ concentration ([Ca2+]c). In response to vasoconstrictor stimuli, Ca2+ is mobilized from intracellular stores and/or the extracellular space to increase [Ca2+]c in VSMCs. The increase in [Ca2+]c, in turn, activates the Ca2+-CaM-MLCK pathway and stimulates MLC20 phosphorylation, leading to myosin-actin interactions and, hence, the development of contractile force. The sensitivity of contractile myofilaments or MLC20 phosphorylation to Ca2+ can be secondarily modulated by other signaling pathways. During receptor stimulation, the contractile force is greatly enhanced by the inhibition of myosin phosphatase. Rho/Rho kinase, PKC, and arachidonic acid have been proposed to play a pivotal role in this enhancement.{}The signaling events that mediate relaxation include the removal of a contractile agonist (passive relaxation) and activation of cyclic nucleotide-dependent signaling pathways in the continued presence of a contractile agonist (active relaxation). Active relaxation occurs through the inhibition of both Ca2+ mobilization and myofilament Ca2+ sensitivity in VSMCs.	Organismal Systems; Circulatory system	1	1	C00076;C00165;C00212;C00219;C00238;C00533;C00547;C00575;C00942;C01245;C01312;C14748;C14768;C14769;C14770;C14771	16		0	0
