category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	38/2714	92/8542	0.0332801174678769	0.218438589198246	0.187260373886236	80310/983/111/2776/5592/203068/84790/115/5595/2778/5159/196883/3710/3708/5154/108/3357/2697/6655/5607/5579/10382/1902/7277/2983/2771/10383/5330/3709/7082/1813/10376/107/6714/109/112/5566/4893	38
NA	NA	hsa04820	Cytoskeleton in muscle cells	87/2714	232/8542	0.0350547573113645	0.225977989096475	0.193723658825962	4629/2273/3679/3908/4001/25802/23500/171024/8736/287/1824/84823/161176/81624/3693/2318/1634/482/3690/477/57644/7060/3674/8082/2192/72/3675/23345/9124/84467/7094/2023/50509/27295/1465/3672/10398/127294/88/23224/825/6711/2274/6444/11155/131873/4627/9172/1299/1288/7136/3930/3673/3339/7140/85301/3680/6645/7170/6382/1297/22989/6445/6709/22795/91010/6712/7431/23002/4636/2200/7273/1281/57731/8572/4811/7791/7169/3676/91977/1278/1462/6443/7139/58529/3696/3728	87
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	89/2714	238/8542	0.0357466000038112	0.226395133357471	0.194081263178587	7422/80310/3479/7010/3082/8681/100271927/5921/8437/10156/3481/10235/2277/4254/2791/3480/5595/5881/5924/10000/91860/54331/2252/3791/627/5295/1945/5159/25/5154/2255/4804/55970/23179/57186/7424/1436/4763/2114/22821/5335/2323/5900/5869/1435/8398/6655/4915/2321/5579/253959/7535/6237/2246/115727/5878/8844/805/25759/51378/5337/51806/9610/7423/9846/4303/2002/4914/1944/285/51196/10681/2549/59345/3643/5868/2787/2260/8605/3363/1946/8817/810/5566/255189/1942/106821730/27040/4893	89
Human Diseases	Cancer: specific types	hsa05214	Glioma	32/2714	76/8542	0.0365629760499383	0.227573006103926	0.195091015584063	1869/1871/3479/1870/51426/578/1029/3480/1643/5595/8536/10000/1019/91860/5925/5295/5159/5154/595/5335/5728/6655/5579/1647/805/25759/51806/1026/814/369/810/4893	32
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	58/2714	149/8542	0.0372786276327687	0.228094653820839	0.195538207386869	80310/10411/8613/8681/111/185/554/4254/115/6009/5595/10000/2778/8611/5295/5159/196883/7248/5154/5294/108/11069/2916/5335/8395/5900/6655/2205/375/8527/9170/6237/552/23533/25759/2149/5337/10161/1606/23566/1902/9846/8394/5330/2206/8877/2912/2549/9265/2534/107/27128/3643/8605/109/112/255189/4893	58
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	77/2714	204/8542	0.0390653999808055	0.229870755603747	0.197060802296258	1869/1871/898/596/10213/890/5710/5701/6502/1870/5717/51426/8819/578/811/7979/54205/9134/3066/3725/1017/1643/10000/1019/9020/5925/5295/3716/5718/5708/5704/5713/29760/3654/595/5709/4794/7186/5707/25942/3109/894/956/1647/3115/637/3111/3516/5600/51135/3661/4734/842/5719/5702/11047/3108/3133/1026/5714/2923/695/7431/3117/8737/5700/2208/3123/5610/3113/7297/3683/3718/4615/3119/1027/953	77
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	54/2714	138/8542	0.039254143242387	0.229870755603747	0.197060802296258	9551/1349/7388/509/518/54205/54539/4708/9377/440567/1352/4700/535/4709/9296/1355/1327/5464/10476/7386/84701/7381/1340/4694/4702/4706/514/1537/245973/539/4710/1337/10632/6391/4717/4725/1346/4704/9167/7384/4715/4726/516/29796/1329/55967/90423/4720/4731/534/6390/50617/4724/522	54
Organismal Systems	Endocrine system	hsa04912	GnRH signaling pathway	38/2714	93/8542	0.0394791879430258	0.229870755603747	0.197060802296258	8681/111/1958/2776/775/3725/115/5595/91860/2778/196883/3710/3708/4215/108/6655/5579/4214/805/5600/5337/51806/1839/2002/4313/5330/3709/107/6714/8605/109/778/810/112/5566/255189/4216/4893	38
Metabolism	Amino acid metabolism	hsa00310	Lysine degradation	27/2714	63/8542	0.0414882945553526	0.23773451324575	0.20380214869296	2146/79723/63976/8985/6839/2145/2122/55526/7799/83852/5351/9757/85007/39/51166/7468/123688/10157/224/10919/387893/9869/150572/56950/1743/6419/51111	27
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	40/2714	99/8542	0.0422851903850381	0.238514902015605	0.20447115087502	80310/8613/8681/2353/3725/6009/5595/5881/6583/10000/8611/5295/5159/7248/5154/5335/8395/5900/6655/126969/6584/10163/5579/8527/5337/1606/6580/1120/8394/56261/10434/80736/9468/5170/8605/6581/7454/255189/204962/4893	40
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	42/2714	105/8542	0.0449350641276095	0.246016401231297	0.210901944779126	3679/3908/3479/111/781/3693/775/3690/115/3674/8082/3675/2778/196883/784/108/3672/7043/6444/93589/3673/3680/6645/6547/7170/783/785/6445/7273/6546/107/7040/487/7169/3676/109/778/112/6443/7139/5566/3696	42
Human Diseases	Substance dependence	hsa05032	Morphine addiction	37/2714	91/8542	0.0449780678151402	0.246016401231297	0.210901944779126	5138/157/5136/111/27115/2869/408/115/2791/5153/8622/2778/54331/196883/55970/5150/108/5141/5139/774/5579/5140/2775/156/5144/5151/2771/10681/59345/107/10846/2787/2868/109/134/112/5566	37
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	59/2714	154/8542	0.0489011449311923	0.263482288360603	0.225874887820433	596/6330/10411/111/185/781/490/2776/775/482/477/115/9252/64091/5595/10000/91860/2778/154/64764/196883/6324/6332/5294/784/108/11069/3784/5528/5516/5500/93589/64208/805/5600/23533/5501/51806/6547/7170/783/785/2771/5330/493/5521/3753/6546/107/487/1390/147/7169/109/778/810/112/7139/5566	59
Genetic Information Processing	Folding, sorting and degradation	hsa03018	RNA degradation	32/2714	78/8542	0.0525256249342577	0.278849273548044	0.239048509762721	131870/3329/87178/7832/57472/57819/25804/23517/2023/9125/115752/5393/219988/9924/28960/26986/5042/10200/54512/23658/51690/255967/55802/132430/4849/11157/23404/11044/3313/118460/25904/8761	32
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	39/2714	98/8542	0.0559757021552531	0.292858383739803	0.251058069163149	5138/3991/4881/111/185/490/2776/775/482/477/115/3164/8536/91860/2778/64764/196883/3710/3708/5587/8913/108/5579/805/51806/1583/5330/493/3777/3709/814/107/8912/109/778/810/112/5566/1589	39
Metabolism	Metabolism of other amino acids	hsa00430	Taurine and hypotaurine metabolism	9/2714	17/8542	0.0568373070770347	0.293118112211565	0.251280726024785	2330/51380/2327/2686/2326/2687/2678/1036/2329	9
Human Diseases	Cancer: specific types	hsa05218	Melanoma	30/2714	73/8542	0.0578501250038911	0.294139367977531	0.252156215732305	1869/1871/80310/3479/3082/1870/51426/578/4286/1029/3480/1643/5595/10000/1019/5925/2252/5295/5159/5154/2255/595/5728/1647/2246/1026/2260/369/8817/4893	30
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	37/2714	93/8542	0.0616802975828954	0.30925815871424	0.265117068558059	1869/1871/898/596/1164/3908/6502/1870/1163/51426/578/54205/9134/3909/3913/3910/3674/1017/1643/3675/10000/1019/5925/5295/595/5728/7186/1647/1288/3673/9618/842/1026/4149/3912/1027/330	37
Organismal Systems	Sensory system	hsa04750	Inflammatory mediator regulation of TRP channels	39/2714	99/8542	0.0648745348058927	0.320817904999003	0.275026867093474	3479/8681/111/2776/115/5583/5734/624/91860/2778/5295/196883/3710/3708/3554/108/3357/5335/8398/5579/162514/5500/805/5600/5501/51806/4914/5330/3709/239/107/6714/8605/55515/109/810/112/5566/255189	39
Metabolism	Metabolism of cofactors and vitamins	hsa00730	Thiamine metabolism	8/2714	15/8542	0.0682854884312111	0.333122450319827	0.285575157877327	122481/26289/27010/79178/158067/249/204/9054	8
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	73/2714	198/8542	0.0705583333220122	0.339620777723285	0.291145964865566	7102/890/7048/3479/51426/578/4299/862/8864/4286/3066/4066/2308/7704/3480/2078/1643/4208/4211/5546/5327/1848/2313/5154/6935/4804/8938/3087/1436/3206/8013/25942/5468/1025/2321/894/5077/7468/1647/2530/2118/1051/26039/6760/2892/51274/8091/5914/861/4914/5218/1026/8842/1655/8148/4149/929/5079/3684/221037/51804/6688/2138/9915/6929/1027/472/51513/330/55589/64332/3205/3728	73
Genetic Information Processing	Folding, sorting and degradation	hsa04122	Sulfur relay system	5/2714	8/8542	0.0727884469331219	0.343031866196644	0.294070181256199	27304/348180/4338/90353/9054	5
Organismal Systems	Digestive system	hsa04970	Salivary secretion	38/2714	97/8542	0.0731674617649352	0.343031866196644	0.294070181256199	6844/111/490/2776/5592/482/477/115/280/91860/2778/154/196883/3710/3708/3778/1471/108/683/5579/55503/805/727897/51806/2983/5330/493/1131/3709/107/3783/147/109/810/112/5566/362/4069	38
Genetic Information Processing	Chromosome	hsa03083	Polycomb repressive complex	33/2714	83/8542	0.0750917225619315	0.347539895446888	0.297934769678919	2146/9212/23492/84733/10389/2145/3066/3607/7027/54881/84678/3720/5931/11091/1460/404281/6500/7322/84333/55777/11335/23466/26147/6322/4149/100170841/114785/84108/91133/84458/80816/22823/80012	33
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	35/2714	89/8542	0.0789291179236356	0.352489089549401	0.302177554534258	7148/3679/3908/7450/3161/948/3693/3690/3909/3913/3910/7060/3674/1101/3675/63923/158326/3672/341640/5649/131873/1299/1288/9899/3673/3339/3680/6382/1297/255743/3912/3676/1278/1280/3696	35
Metabolism	Amino acid metabolism	hsa00220	Arginine biosynthesis	11/2714	23/8542	0.079090349732691	0.352489089549401	0.302177554534258	2746/84706/1373/4846/790/445/384/2806/27165/2752/2744	11
Organismal Systems	Endocrine system	hsa04614	Renin-angiotensin system	11/2714	23/8542	0.079090349732691	0.352489089549401	0.302177554534258	185/4311/2028/5547/59272/1359/7064/57486/5550/1636/1511	11
Human Diseases	Drug resistance: antineoplastic	hsa01524	Platinum drug resistance	30/2714	75/8542	0.0807119699370396	0.353997553983767	0.303470712556429	596/332/2956/7153/578/2949/4436/54205/1029/2946/672/5595/10000/5295/540/7507/1317/2067/5980/2947/637/842/4437/1026/119391/5170/472/330/4217/2950	30
Cellular Processes	Cell motility	hsa04810	Regulation of actin cytoskeleton	84/2714	232/8542	0.0819224309177954	0.353997553983767	0.303470712556429	128239/80310/4629/2934/3679/730/50649/81624/3693/4638/3984/81873/57180/5217/10788/2245/3690/10451/6387/727/3674/4660/89846/3675/624/5595/5881/1793/10000/2252/5295/5159/5154/2255/55970/3672/8395/10398/6655/10163/653857/729/4627/23365/9170/6237/3645/2246/5500/91807/54961/3673/2149/5501/3071/3680/26999/1902/5216/8394/7409/1073/85366/28984/1131/4636/1133/4659/3684/6714/2260/55740/369/5829/3683/3676/8817/3696/5305/1128/54776/85464/106821730/4893	84
Genetic Information Processing	Replication and repair	hsa03450	Non-homologous end-joining	7/2714	13/8542	0.0823706219796023	0.353997553983767	0.303470712556429	2237/64421/10111/5591/27434/27343/7520	7
Metabolism	Metabolism of other amino acids	hsa00440	Phosphonate and phosphinate metabolism	4/2714	6/8542	0.0853653083621551	0.360563824297344	0.309099764815335	85465/5833/10390/9468	4
Metabolism	Glycan biosynthesis and metabolism	hsa00513	Various types of N-glycan biosynthesis	18/2714	42/8542	0.0858960911068465	0.360563824297344	0.309099764815335	10195/57134/4124/1650/58505/6184/11282/3703/6185/2530/8703/440138/85365/8704/4121/4122/79868/10905	18
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	74/2714	204/8542	0.0941029530625021	0.386352674817254	0.331207716565892	7422/8322/857/2099/3479/3082/7078/287/3693/1634/3481/2719/3690/10451/4660/3480/858/5595/8326/10000/3791/5295/3710/6608/3708/7481/3316/595/5335/6655/2066/5579/7099/29102/1975/23365/6237/5500/5600/7482/3673/3339/5501/3059/1839/2002/6382/1026/4313/7409/51196/1655/3709/4060/967/2549/4659/7475/5170/6714/2260/7040/27250/369/5829/8325/7023/117581/60495/1278/5566/7291/54776/4893	74
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	30/2714	76/8542	0.0941801534180564	0.386352674817254	0.331207716565892	111/2776/4638/482/477/115/91860/2778/196883/3710/3708/108/3784/5579/3274/91807/805/51806/2771/6752/85366/5330/1131/3709/107/109/3773/810/112/5566	30
Environmental Information Processing	Signal transduction	hsa04392	Hippo signaling pathway - multiple species	13/2714	29/8542	0.0968261762761334	0.392526066197657	0.336499966356936	79633/7004/8642/166824/122786/102800317/26524/23286/7003/92597/7005/6788/9113	13
Organismal Systems	Endocrine system	hsa04927	Cortisol synthesis and secretion	26/2714	65/8542	0.0989552384373504	0.392526066197657	0.336499966356936	111/185/2776/775/115/3164/8622/2778/64764/196883/3710/3708/8913/108/1583/5151/5330/3777/3709/107/8912/109/778/112/5566/1589	26
Human Diseases	Infectious disease: bacterial	hsa05110	Vibrio cholerae infection	21/2714	51/8542	0.0992013576826501	0.392526066197657	0.336499966356936	9601/10952/23480/115/2778/535/9296/3784/5335/375/245973/11014/55176/90423/7082/534/11015/29927/109/5566/50617	21
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	67/2714	184/8542	0.100034343740123	0.392526066197657	0.336499966356936	10501/6586/9353/91584/22885/5921/56920/84448/10371/3984/223117/6387/9037/4773/80031/2042/5595/5881/7225/4776/3611/57522/5295/1945/25/6608/2041/59277/9723/5335/10398/2049/1020/2043/8440/10154/23365/6237/25791/8829/54961/151449/10512/7869/9901/5361/27289/1944/2771/1073/6091/1948/4756/4636/2534/6405/5170/6714/55740/1946/3897/7220/1942/84552/85464/106821730/4893	67
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	34/2714	88/8542	0.102423742683924	0.397580334504266	0.340832827946506	1675/7450/2159/730/10747/5648/2162/7056/7035/2157/727/721/720/3426/624/5327/10544/3075/5627/718/1191/729/2151/710/2149/2/2152/2161/715/5054/3684/722/716/719	34
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	37/2714	98/8542	0.121745546662762	0.458379807800384	0.392954260076725	1869/1871/898/596/80310/3479/1870/9134/367/2308/7184/1017/3480/2078/5595/10000/5925/5295/5327/5159/64764/5154/6935/595/5728/6655/3645/842/1026/3326/5170/2260/369/1027/3320/2950/4893	37
Metabolism	Carbohydrate metabolism	hsa00020	Citrate cycle (TCA cycle)	13/2714	30/8542	0.123044415652812	0.458379807800384	0.392954260076725	5160/2271/8801/3418/48/4190/55753/4191/6391/47/1743/6390/8803	13
Metabolism	Glycan biosynthesis and metabolism	hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	13/2714	30/8542	0.123044415652812	0.458379807800384	0.392954260076725	54872/284098/128869/94005/5283/93210/9487/8705/2822/9488/51227/55650/65258	13
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	38/2714	101/8542	0.123165765530851	0.458379807800384	0.392954260076725	7422/596/7048/1958/185/4846/3725/7056/2308/4088/2277/84812/5595/10000/1019/5295/7424/595/5335/7043/5579/6777/1288/4089/5600/7423/2152/4313/5330/51196/1536/5054/1281/7040/4772/1027/1278/4893	38
Metabolism	Nucleotide metabolism	hsa00240	Pyrimidine metabolism	23/2714	58/8542	0.125492902439084	0.45923042271129	0.393683464869863	4830/7084/6241/7083/1503/1841/8623/957/4831/955/5167/956/790/7371/51020/51251/7298/1806/1807/6240/9583/953/7372	23
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	57/2714	157/8542	0.126694959463957	0.45923042271129	0.393683464869863	23339/4035/1901/1374/811/948/3693/8578/3690/23166/4773/9844/2621/5734/5595/1793/4776/3988/1524/55823/5175/5627/6513/7386/57617/55754/6566/2057/5869/8398/5468/19/1051/5878/1847/5600/384/80824/558/196527/29933/9023/1846/64805/6446/7376/389668/8877/51761/55576/161291/5868/7040/4772/487/1788/51454	57
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecules	58/2714	160/8542	0.12721064341033	0.45923042271129	0.393683464869863	7122/83700/947/58494/5010/1003/83692/57863/25945/90952/9379/22871/5175/9080/6403/1272/257194/94030/3109/8506/920/3115/5788/50848/3111/5789/23562/23308/137075/3680/5817/64115/26050/3108/6382/3385/214/3133/5797/1366/4756/3117/3684/4897/1365/3123/6404/3113/1364/3683/3897/3676/3119/1001/1462/23705/3384/3696	58
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	43/2714	116/8542	0.129149221677794	0.459303222147984	0.393745873484494	596/111/2353/2776/775/3768/115/2791/5595/10000/54331/5295/64764/196883/3710/3708/5294/55970/108/1136/3784/9132/774/5579/2775/23533/2771/5330/1131/3709/10681/59345/1133/814/2534/107/2787/109/778/112/5566/1128/4893	43
Genetic Information Processing	Folding, sorting and degradation	hsa04130	SNARE interactions in vesicular transport	14/2714	33/8542	0.130273251923246	0.459303222147984	0.393745873484494	6844/8773/9341/10228/10791/53407/10490/415117/9527/6804/10652/6811/8676/8674	14
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	33/2714	87/8542	0.131047733743054	0.459303222147984	0.393745873484494	1349/7388/781/775/482/3270/477/845/9377/440567/1327/7386/784/84701/7381/1340/1537/1337/93589/1346/9167/6547/7384/7170/783/785/29796/1329/6546/487/7169/778/7139	33
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	30/2714	79/8542	0.143062236305573	0.486377791436324	0.416956030565036	2353/3725/65108/5595/3716/718/3654/3109/7043/5579/7099/3115/3111/5600/51135/3459/2002/3108/4689/1536/3117/3684/1917/7040/3123/1915/3113/3676/4615/3119	30
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	80/2714	227/8542	0.143464108241676	0.486377791436324	0.416956030565036	7422/3082/1349/7388/509/2949/2353/518/3725/292/2053/10105/54539/2946/4708/7416/9377/440567/5595/65010/10000/9020/4700/5295/25/4709/1327/5587/10476/1571/7386/7419/84701/847/7381/1340/4694/7417/5728/4702/4706/6647/6655/514/2947/1537/539/4710/1337/5600/6391/5337/4717/4725/1346/873/4704/9167/7384/4715/4726/516/29796/1329/119391/55967/4720/196/5170/6714/4731/4780/10861/369/2052/6390/4217/4724/522/4893	80
Metabolism	Metabolism of other amino acids	hsa00480	Glutathione metabolism	23/2714	59/8542	0.146344336442589	0.486377791436324	0.416956030565036	6241/2949/2878/79094/2946/494143/6611/2730/3418/2947/2686/79017/2687/9588/5226/2937/6723/2678/119391/10314/6240/27306/2950	23
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	51/2714	141/8542	0.149363905426039	0.486377791436324	0.416956030565036	7422/596/10365/1843/857/7295/2949/2353/1003/4846/3725/7056/3690/2946/7184/3674/4208/6613/858/5881/10000/91860/3791/5295/5327/5154/5175/3554/92/5607/2947/445/7341/805/5600/51806/652/6382/4313/6612/119391/9181/7132/3326/4880/6714/4780/810/3320/4217/2950	51
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	9/2714	20/8542	0.151195214400031	0.486377791436324	0.416956030565036	10682/3988/6713/1717/50814/3930/6309/4047/6646	9
Metabolism	Metabolism of cofactors and vitamins	hsa00785	Lipoic acid metabolism	9/2714	20/8542	0.151195214400031	0.486377791436324	0.416956030565036	2731/5160/55526/2653/11019/55753/275/116285/1743	9
Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	18/2714	45/8542	0.152052474372803	0.486377791436324	0.416956030565036	10351/10349/23460/10350/10058/10060/9429/5243/19/5826/85320/4363/9619/215/225/368/10257/23456	18
Metabolism	Metabolism of other amino acids	hsa00410	beta-Alanine metabolism	13/2714	31/8542	0.152875671334572	0.486377791436324	0.416956030565036	8639/18/8310/57571/4329/54498/23417/51380/35/224/1806/221/1807	13
Genetic Information Processing	Folding, sorting and degradation	hsa03060	Protein export	13/2714	31/8542	0.152875671334572	0.486377791436324	0.416956030565036	10952/23480/3309/196294/8266/29100/55176/58477/6730/7095/29927/6727/6731	13
NA	NA	hsa04981	Folate transport and metabolism	13/2714	31/8542	0.152875671334572	0.486377791436324	0.416956030565036	6472/113235/9429/6573/4524/11309/2350/4363/7298/200895/1719/10257/4522	13
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	37/2714	100/8542	0.153592986769365	0.486377791436324	0.416956030565036	947/948/4311/3690/3590/4254/3674/3570/3675/3563/3554/3589/1436/3672/2057/2323/1435/3566/3109/920/7037/3115/3111/3673/911/3108/929/3117/3684/3575/2208/3123/3113/951/3676/3119/7066	37
Organismal Systems	Environmental adaptation	hsa04710	Circadian rhythm	14/2714	34/8542	0.159513672592221	0.495584571888142	0.424848707202547	1408/8863/5187/8864/5564/1628/8945/9572/26224/79365/102800317/6500/8454/8553	14
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	29/2714	77/8542	0.160426786256452	0.495584571888142	0.424848707202547	1869/1871/7422/7048/1870/51426/578/5888/1029/4088/675/1643/5595/5881/10000/1019/5925/5295/3716/595/5900/7043/1647/4089/5337/842/1026/7040/369	29
Metabolism	Metabolism of terpenoids and polyketides	hsa00900	Terpenoid backbone biosynthesis	10/2714	23/8542	0.162320752320566	0.495584571888142	0.424848707202547	23590/39/116150/2224/51449/3157/10269/2339/4597/2342	10
Organismal Systems	Excretory system	hsa04964	Proximal tubule bicarbonate reclamation	10/2714	23/8542	0.162320752320566	0.495584571888142	0.424848707202547	358/2746/482/477/4190/1468/8671/27165/2744/10991	10
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	50/2714	139/8542	0.163364443364789	0.495584571888142	0.424848707202547	596/2099/111/5241/2353/4846/2776/3725/7184/115/9687/8648/5595/10000/91860/2778/5295/64764/196883/3710/3708/2852/108/6655/2288/2100/2775/805/25759/51806/1839/5914/4313/2771/5330/3709/3868/3326/107/6714/25984/3880/3861/109/810/112/5566/3320/3304/4893	50
Organismal Systems	Digestive system	hsa04977	Vitamin digestion and absorption	11/2714	26/8542	0.171600084306322	0.516230253621519	0.44254758584262	55788/8884/113235/686/6573/80704/5826/6948/4363/151056/25974	11
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	71/2714	203/8542	0.179523953749291	0.531423067463574	0.455571896294768	4629/7122/55971/578/2353/5010/54205/4651/2597/3725/203068/81873/57180/84790/10006/5595/25/10061/9080/55930/3554/3654/4691/7186/4671/4644/10163/375/653857/7099/4627/8440/23365/9170/9826/5600/4542/51135/23562/2149/3071/137075/3059/10382/26999/842/7009/1902/7277/64005/10383/1366/9181/7132/8737/7082/10376/9265/2534/27128/6714/1365/7456/114548/147179/1364/9871/4430/4615/4641/837	71
Metabolism	Global and overview maps	hsa01230	Biosynthesis of amino acids	28/2714	75/8542	0.179594499253618	0.531423067463574	0.455571896294768	29968/7086/84706/1373/5723/6472/875/2597/5831/5230/26227/6888/440/3418/7167/6120/2023/48/445/387712/384/2806/5634/5315/5223/2752/22934/587	28
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	29/2714	78/8542	0.181187177929091	0.531777001889447	0.455875312889626	2353/3725/727/721/720/5595/91860/718/3654/7099/710/805/5600/51135/3661/51806/3394/2771/1073/929/715/6374/3684/722/114548/716/4615/810/10392	29
Organismal Systems	Endocrine system	hsa04913	Ovarian steroidogenesis	20/2714	52/8542	0.185769876974718	0.537460987932787	0.460748011232656	3479/8681/111/115/3480/2778/196883/108/10965/1583/654/107/3643/8605/641371/109/112/5566/255189/122970	20
Metabolism	Carbohydrate metabolism	hsa00640	Propanoate metabolism	13/2714	32/8542	0.186101450115231	0.537460987932787	0.460748011232656	32/18/8310/4329/8801/5095/23417/79611/35/3945/31/8803/3939	13
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	27/2714	73/8542	0.200688630852056	0.566299096307425	0.48546999362701	8821/9651/23007/27124/84812/8897/3613/4329/7167/5294/3635/5335/8395/5728/3633/55361/3705/8394/5330/51196/4534/9107/51763/8898/5305/3628/3632	27
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	27/2714	73/8542	0.200688630852056	0.566299096307425	0.48546999362701	1869/1871/3082/1870/51426/578/1029/3800/1643/5595/10000/1019/5925/5295/595/5335/3799/6655/5579/1647/6777/842/1026/5170/369/3718/4893	27
Human Diseases	Cancer: specific types	hsa05219	Bladder cancer	16/2714	41/8542	0.201094752007345	0.566299096307425	0.48546999362701	1869/1871/7422/1870/1029/9252/5595/1019/5925/595/1839/1026/4313/6714/369/4893	16
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	78/2714	226/8542	0.204074122953142	0.566299096307425	0.48546999362701	5733/117/3991/5348/4881/10411/111/7434/2353/490/775/3725/482/10451/477/115/8310/64091/2735/5595/5881/10000/91860/2778/154/627/5295/64764/196883/2696/1909/8843/108/11069/5141/10398/5139/27198/2737/5140/6662/2893/5144/6237/5500/2892/64208/805/1908/1907/2149/5501/5337/51806/2906/7409/2771/6752/51196/493/116443/4659/1813/814/338442/107/51738/10846/4772/487/109/778/134/810/10257/112/5566/1128	78
Organismal Systems	Excretory system	hsa04962	Vasopressin-regulated water reabsorption	17/2714	44/8542	0.20485857658471	0.566299096307425	0.48546999362701	79659/6844/8655/554/115/2778/64764/5869/8766/51626/5878/9230/397/5868/109/112/5566	17
Metabolism	Glycan biosynthesis and metabolism	hsa00514	Other types of O-glycan biosynthesis	18/2714	47/8542	0.208159148889909	0.566299096307425	0.48546999362701	117248/8985/3955/4242/55568/11226/8703/285203/2591/727936/64409/11227/56913/57452/29071/8704/152002/8693	18
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	39/2714	109/8542	0.210361980260174	0.566299096307425	0.48546999362701	3572/7048/2353/3725/4088/4773/3570/5595/3716/3554/4794/5335/3566/3109/920/7535/6777/3115/2625/4089/3111/5600/3459/5914/861/3108/3932/3326/3117/196/7040/3123/4772/3113/7297/3718/3119/3320/27040	39
Metabolism	Amino acid metabolism	hsa00330	Arginine and proline metabolism	19/2714	50/8542	0.21106236750244	0.566299096307425	0.48546999362701	4128/4846/5831/262/57571/6611/54498/548596/5033/1160/5625/8659/112849/1159/224/384/6723/2806/2593	19
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	55/2714	157/8542	0.211151996091404	0.566299096307425	0.48546999362701	332/7048/8322/1740/8313/7004/4088/8326/3397/166824/8945/7159/7481/595/5516/122786/7531/7534/7043/894/1741/102800317/286204/26524/23286/7003/2246/5500/4089/7482/374/650/1742/5501/652/151449/2736/654/5521/92597/7532/1857/7005/23513/5054/7475/7040/10971/6788/8325/9113/1739/6591/330/84552	55
Cellular Processes	Cell growth and death	hsa04210	Apoptosis	48/2714	136/8542	0.21177390028117	0.566299096307425	0.48546999362701	596/332/8722/4001/84823/578/1515/2353/54205/3725/84790/835/5595/10000/9020/1513/5295/3710/3708/1519/10039/3563/2081/7186/1647/9131/637/842/1512/7277/4914/143/63970/6709/8837/7132/3709/8737/8739/10376/5783/5170/1439/472/330/4217/839/4893	48
Organismal Systems	Excretory system	hsa04961	Endocrine and other factor-regulated calcium reabsorption	20/2714	53/8542	0.213622195075583	0.567041267810923	0.486106233376327	5745/2099/9365/490/2776/482/477/115/624/2778/793/8766/5579/6547/5330/493/6546/112/5566/1175	20
Metabolism	Glycan biosynthesis and metabolism	hsa00541	Biosynthesis of various nucleotide sugars	7/2714	16/8542	0.219435255916088	0.578219907924874	0.495689321854244	55907/140838/606495/2762/7358/1727/54187	7
Metabolism	Glycan biosynthesis and metabolism	hsa00512	Mucin type O-glycan biosynthesis	14/2714	36/8542	0.226927959968292	0.587528230112806	0.503669046954848	117248/51301/55568/11226/2591/64409/11227/56913/57452/10610/55808/29071/256435/8693	14
